BATCH-R3-1321,AFY_BATCH_PRODUCTION_20260821_R3,717,'19169,Iowa,Story,101291,Abbott Electric,ChIJHV8FnnviQ0URQEaIBm4kvTM,,3,56,Story City,"305 8th St, Story City, IA 50248",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-1322,AFY_BATCH_PRODUCTION_20260821_R3,1060,'26055,Michigan,Grand Traverse,96729,Mr. Electric of Traverse City,ChIJ-a88L7szHogRihbaQoCi8lI,,3,60,Traverse City,"3583 S Blue Star Dr, Traverse City, MI 49685",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-1323,AFY_BATCH_PRODUCTION_20260821_R3,2375,'49045,Utah,Tooele,87461,JessiJames Outlaw Electric LLC,ChIJvUJXjNh9TYcRu4CodD4Gfx8,,3,60,Grantsville,"280 Deep Crk Ln, Grantsville, UT 84029",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-1324,AFY_BATCH_PRODUCTION_20260821_R3,1370,'30013,Montana,Cascade,85029,Cascade Electric,ChIJF6ViWog3QlMRm1ylHdCCUks,,3,60,Great Falls,"903 10th Ave N, Great Falls, MT 59401",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-1325,AFY_BATCH_PRODUCTION_20260821_R3,1899,'41059,Oregon,Umatilla,81119,Pendleton Electric,ChIJp5PwhDXholQROLGlR5Gr7MQ,,3,60,Pendleton,"3501 Westgate, Pendleton, OR 97801",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-1326,AFY_BATCH_PRODUCTION_20260821_R3,1547,'35025,New Mexico,Lea,74749,The Electrician,ChIJs4b4D5uV_IYRUv0C43mByQo,,3,60,Hobbs,"114 E Taylor St Ste C, Hobbs, NM 88240",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-1327,AFY_BATCH_PRODUCTION_20260821_R3,2364,'49021,Utah,Iron,67141,"J - J Electrical, LLC",ChIJTYa_YxNntYAR8pGP0cyav2E,,3,60,Cedar City,"1270 Eden Way, Cedar City, UT 84721",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-1328,AFY_BATCH_PRODUCTION_20260821_R3,1006,'23003,Maine,Aroostook,66609,RLC Electric,ChIJv0lNg0qNAywR7kWLjFGzijE,,3,60,Caribou,"4 Lombard Rd, Caribou, ME 04736",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-1329,AFY_BATCH_PRODUCTION_20260821_R3,1679,'37193,North Carolina,Wilkes,66233,Smart Automation and Electric LLC,ChIJr3bleVANUYgREWB_eQ0yu9A,,3,60,Wilkesboro,"1505 Overlook Dr, Wilkesboro, NC 28697",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-1330,AFY_BATCH_PRODUCTION_20260821_R3,212,'08045,Colorado,Garfield,63474,R&A Enterprises,ChIJVVVlGhaoQYcRImyufKLD--0,,3,60,Glenwood Springs,"5317 Co Rd 154 #201, Glenwood Springs, CO 81601",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
