BATCH-R3-0301,AFY_BATCH_PRODUCTION_20260821_R3,1951,'44009,Rhode Island,Washington,129795,Jedi Enterprises Electrical,ChIJ-f_fVxS55YkRrCcY-zds4pQ,,41,60,South Kingstown,"57 Sweet Fern Ln # A, South Kingstown, RI 02879",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0302,AFY_BATCH_PRODUCTION_20260821_R3,1031,'25003,Massachusetts,Berkshire,128224,David J. Pravia Electrician,ChIJeeeUXpxP54kRxMSrQo5mjP4,,41,60,Pittsfield,"8 Kathy Way, Pittsfield, MA 01201",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0303,AFY_BATCH_PRODUCTION_20260821_R3,1690,'38015,North Dakota,Burleigh,103251,Fetzer Electric Inc,ChIJTxM_-1ec11IRExgfXZ0_waY,,41,60,Bismarck,"2501 Angus Dr, Bismarck, ND 58504",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0304,AFY_BATCH_PRODUCTION_20260821_R3,2668,'56021,Wyoming,Laramie,102938,Electric MD,ChIJJe5klBs7b4cRMmLRKFktDLI,,41,60,Cheyenne,"409 W 4th St, Cheyenne, WY 82007",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0305,AFY_BATCH_PRODUCTION_20260821_R3,1370,'30013,Montana,Cascade,85029,Rainbow Electric Co,ChIJn2A_Pnk3QlMR6_wK2x_5a2k,,41,60,Great Falls,"2220 River Dr N #1, Great Falls, MT 59401",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0306,AFY_BATCH_PRODUCTION_20260821_R3,1388,'30049,Montana,Lewis and Clark,75331,Tri-County Mechanical & Electrical,ChIJezbe1MhVQ1MR8IhSIKTLsT4,,41,60,Helena,"3139 Bozeman Ave, Helena, MT 59601",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0307,AFY_BATCH_PRODUCTION_20260821_R3,1547,'35025,New Mexico,Lea,74749,Cable Services Co,ChIJx02LkbuV_IYRrbGvTQT9u54,,41,60,Hobbs,"1800 S Grimes St, Hobbs, NM 88240",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0308,AFY_BATCH_PRODUCTION_20260821_R3,1732,'38101,North Dakota,Ward,68233,Keller's Electric,ChIJwewW7Rcq31IRWeZFoQd7XxI,,41,60,Minot,"6691 17th Ave NW, Minot, ND 58703",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0309,AFY_BATCH_PRODUCTION_20260821_R3,1006,'23003,Maine,Aroostook,66609,Bither's Electric,ChIJl0sp1h_CpEwRcE0knNFK7p8,,41,60,Houlton,"17 Smyrna St, Houlton, ME 04730",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0310,AFY_BATCH_PRODUCTION_20260821_R3,1679,'37193,North Carolina,Wilkes,66233,Larry Durham Electrical,ChIJj7diGMd1UYgRT53u5nDF5e0,,41,60,Hays,"181 Oak Ridge Church Rd, Hays, NC 28635",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0311,AFY_BATCH_PRODUCTION_20260821_R3,1677,'37189,North Carolina,Watauga,54786,Longevity Electrical Services Inc,ChIJmcjTRA76UIgRNLVsegpSifY,,41,60,Boone,"198 Queen St, Boone, NC 28607",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0312,AFY_BATCH_PRODUCTION_20260821_R3,553,'17195,Illinois,Whiteside,54121,Cady Electric,ChIJrdmuyAt04ocRPyVPX7w2Ybo,,41,60,Erie,"9068 Moline Rd, Erie, IL 61250",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0313,AFY_BATCH_PRODUCTION_20260821_R3,1015,'23025,Maine,Somerset,51620,"Double ""A"" Electric",ChIJVw-O-l23sUwRuIK-8csOAiU,,41,60,Madison,"550 Horsetail Hill Rd, Madison, ME 04950",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0314,AFY_BATCH_PRODUCTION_20260821_R3,1902,'41065,Oregon,Wasco,26310,Merlin Electric LLC,ChIJP-vp1IsallQR7T5XhtxXJYM,,41,60,Mosier,"0442, 1001 3rd Ave #442, Mosier, OR 97040",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0315,AFY_BATCH_PRODUCTION_20260821_R3,1384,'30041,Montana,Hill,16167,SPARK ELECTRICIANS,ChIJD3GLIk-_alMRrGYH2WCF7sc,,41,44,Grey Park,"19-A 2 3rd Ave, Grey Park, MT 57362",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0316,AFY_BATCH_PRODUCTION_20260821_R3,9043,'25027,Massachusetts,Worcester,0,Kuhlman Electric,ChIJpzDLwVkT5IkRvW1gLfVOOqc,,41,60,Uxbridge,"12 Bazaleel Cir, Uxbridge, MA 01569",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0317,AFY_BATCH_PRODUCTION_20260821_R3,9070,'34027,New Jersey,Morris,0,LJS Electric,ChIJywRyYTv4wokRBxMXl8_dVsY,,41,60,Hanover,"68 S Jefferson Rd, Whippany, NJ 07981",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0318,AFY_BATCH_PRODUCTION_20260821_R3,2628,'55073,Wisconsin,Marathon,139432,Hauke Electric Co,ChIJmVXPbNMNAIgRyFqaBR3uGpE,,40,60,Mosinee,"201 Eau Pleine Dr, Mosinee, WI 54455",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0319,AFY_BATCH_PRODUCTION_20260821_R3,1031,'25003,Massachusetts,Berkshire,128224,"Henry's Electric, Inc.",ChIJi1UzxmlD54kR0WKpZNruZc4,,40,60,Lee,"252 Main St, Lee, MA 01238",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
