BATCH-R3-0781,AFY_BATCH_PRODUCTION_20260821_R3,2364,'49021,Utah,Iron,67141,iTech Electric,ChIJKzwEKHphtYARMxrqYEUzCXE,,20,60,Cedar City,"2581 Freeway Dr, Cedar City, UT 84721",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0782,AFY_BATCH_PRODUCTION_20260821_R3,1679,'37193,North Carolina,Wilkes,66233,Mathis Electric Co Inc,ChIJQ2naXTINUYgRnVkCXZAiLw8,,20,60,Wilkesboro,"990 Spring St, Wilkesboro, NC 28697",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0783,AFY_BATCH_PRODUCTION_20260821_R3,1457,'31079,Nebraska,Hall,63633,Jim's Electric,ChIJtdscrCqBmYcRiFOaqwIQxTo,,20,60,Grand Island,"1433 Meadow Rd, Grand Island, NE 68803",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0784,AFY_BATCH_PRODUCTION_20260821_R3,212,'08045,Colorado,Garfield,63474,Lico's Electric LLC,ChIJHcEYLAk5QYcRN3bro8ayZuE,,20,60,Rifle,"146 Daniel Ave, Rifle, CO 81650",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0785,AFY_BATCH_PRODUCTION_20260821_R3,1824,'40047,Oklahoma,Garfield,61779,Brody Ronistal Electric LLC,ChIJnYLS0WDTr4cRDXfuPWOuVxE,,20,60,Enid,"1410 N 4th St, Enid, OK 73701",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0786,AFY_BATCH_PRODUCTION_20260821_R3,553,'17195,Illinois,Whiteside,54121,MRT Electric & Generators,ChIJhZQcIOm3CYgRwEMsl_PB_TE,,20,60,Rock Falls,"907 E 17th St, Rock Falls, IL 61071",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0787,AFY_BATCH_PRODUCTION_20260821_R3,1510,'32005,Nevada,Douglas,50111,United Electrical Services Inc,ChIJG63fN0i9mYARSUc_P7g74kw,,20,60,Minden,"2551 Precision Dr A, Minden, NV 89423",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0788,AFY_BATCH_PRODUCTION_20260821_R3,2660,'56005,Wyoming,Campbell,48145,Browning Electric Co Inc,ChIJO9bNm_mVNFMRORX2LUWA0o4,,20,60,Gillette,"5416 S Winland Dr, Gillette, WY 82718",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0789,AFY_BATCH_PRODUCTION_20260821_R3,1269,'29027,Missouri,Callaway,45765,Breid Electric Inc,ChIJ0Yw_baWP3IcR7lgpOVbzz4k,,20,60,Fulton,"500 Collier Ln, Fulton, MO 65251",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0790,AFY_BATCH_PRODUCTION_20260821_R3,287,'13009,Georgia,Baldwin,44029,"All-Phase Electric Company, Inc.",ChIJe0l5farH9ogRJ92640l0HVQ,,20,60,Milledgeville,"120 Dundee Dr, Milledgeville, GA 31061",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0791,AFY_BATCH_PRODUCTION_20260821_R3,2578,'54077,West Virginia,Preston,34004,BRIMM ELECTRIC LLC,ChIJn4f6N-udSogRoN8o-SnWeI4,,20,60,Reedsville,"5272 Kingwood Pike, Reedsville, WV 26547",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0792,AFY_BATCH_PRODUCTION_20260821_R3,2533,'53055,Washington,San Juan,18577,Nichols Electric Inc,ChIJlbG_iEiPhVQRqs9qMxXnXkc,,20,60,Eastsound,"634 W Beach Rd, Eastsound, WA 98245",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0793,AFY_BATCH_PRODUCTION_20260821_R3,466,'16087,Idaho,Washington,11583,Riverbend Electric LLC,ChIJsXtzHUoeTq8RsZelfCG0FVo,,20,60,Weiser,"283 E Commercial St, Weiser, ID 83672",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R3-0794,AFY_BATCH_PRODUCTION_20260821_R3,2628,'55073,Wisconsin,Marathon,139432,Croker Electric LLC,ChIJ689fgq4zVU0RuyrI8boYmrI,,19,60,Wausau,"T1428, T1428 CountyRoad Ww, Wausau, WI 54403",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
