BATCH-R2-0221,AFY_BATCH_PRODUCTION_20260820_R2,581,'18055,Indiana,Greene,31165,English Electric,ChIJlVXmN_VPbIgRikxZ1OAip1g,,25,60,Bloomfield,"6683 E State Rd 54, Bloomfield, IN 47424",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0222,AFY_BATCH_PRODUCTION_20260820_R2,460,'16075,Idaho,Payette,27824,Monster Electric Corporation,ChIJDyvCK6YzUmIRBg9xCTXSuxE,,25,60,New Plymouth,"4272 SW 4th Ave, New Plymouth, ID 83655",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0223,AFY_BATCH_PRODUCTION_20260820_R2,439,'16031,Idaho,Cassia,26397,Ramsey Heating & Electric,ChIJbbCtZu41q1QRudIcAnJWw2Y,,25,53,Burley,"2600 Overland Ave, Burley, ID 83318",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0224,AFY_BATCH_PRODUCTION_20260820_R2,431,'16013,Idaho,Blaine,25517,"Advanced Data & Electric, Inc.",ChIJC9HMFGGDqVQRSqg54cX40pI,,25,60,Ketchum,"680 Second Ave Ste 200, Ketchum, ID 83340",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0225,AFY_BATCH_PRODUCTION_20260820_R2,601,'18105,Indiana,Monroe,143345,Peterman Brothers Heating Cooling Plumbing,ChIJv3_PZIhhbIgRmZJ-i9haK-Y,,24,60,Bloomington,"3133 N Westbury Village Dr Ste 2, Bloomington, IN 47404",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0226,AFY_BATCH_PRODUCTION_20260820_R2,90,'04003,Arizona,Cochise,126332,Lighthouse Electric & Solar,ChIJVTg07bPg2YYRe5yE9sM5AVI,,24,60,,"9785 AZ-181, Pearce, AZ 85625",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0227,AFY_BATCH_PRODUCTION_20260820_R2,96,'04017,Arizona,Navajo,109946,EcoSun Electric and Solar,ChIJmQvqpBY1L4cRGQ3Tw8o4BtU,,24,60,Show Low,"1400 E Deuce of Clubs Unit 4, Show Low, AZ 85901",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0228,AFY_BATCH_PRODUCTION_20260820_R2,464,'16083,Idaho,Twin Falls,97539,Waite Electric Co,ChIJl3LS_aOjrFQRpoanymDV--E,,24,60,Twin Falls,"255 2nd Ave E, Twin Falls, ID 83301",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0229,AFY_BATCH_PRODUCTION_20260820_R2,427,'16005,Idaho,Bannock,91591,Allied Electrical Construction,ChIJ3x1cFSJNVVMR4Tmh1K0UF88,,24,60,Pocatello,"770 Mink Creek Rd, Pocatello, ID 83204",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0230,AFY_BATCH_PRODUCTION_20260820_R2,582,'18059,Indiana,Hancock,90969,Maynard Electric,ChIJV_8OlK8xa4gR6JIuZg_CNG0,,24,60,Greenfield,"1958 Justice Dr, Greenfield, IN 46140",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
