BATCH-R2-0181,AFY_BATCH_PRODUCTION_20260820_R2,90,'04003,Arizona,Cochise,126332,Alpha Home Services,ChIJB2yR5bT91oYR0GhIbd_mfjg,,29,60,Benson,"670 AZ-80, Benson, AZ 85602",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0182,AFY_BATCH_PRODUCTION_20260820_R2,595,'18091,Indiana,LaPorte,111294,"Troxel Electric, Inc.",ChIJra6kfhgXJWsRCU-VQ8t9Nk4,,29,60,Wanatah,"10525 US-30 Bldg 2C, Wanatah, IN 46390",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0183,AFY_BATCH_PRODUCTION_20260820_R2,427,'16005,Idaho,Bannock,91591,Bear River Electric LLC,ChIJVVVVVRVIVVMRpTiBrWZsq14,,29,60,Pocatello,"Pocatello Creek Rd, Pocatello, ID 83201",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0184,AFY_BATCH_PRODUCTION_20260820_R2,451,'16057,Idaho,Latah,41842,Strom Electric,ChIJLx62KBQfoFQRlNiIB6hArg4,,29,60,Troy,"405 S Main St #3, Troy, ID 83871",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0185,AFY_BATCH_PRODUCTION_20260820_R2,90,'04003,Arizona,Cochise,126332,R&R Electric LLC,ChIJcRooVnKZ14YR9uPib05DAVw,,28,60,Willcox,"4520 Fort Grant Rd, Willcox, AZ 85643",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0186,AFY_BATCH_PRODUCTION_20260820_R2,582,'18059,Indiana,Hancock,90969,Ellison Electric Inc,ChIJsULdmLExa4gRDac7mRc4ojc,,28,60,Greenfield,"1918 Declaration Dr, Greenfield, IN 46140",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0187,AFY_BATCH_PRODUCTION_20260820_R2,557,'18005,Indiana,Bartholomew,85729,Gaylor Electric,ChIJ8842Ebeha4gRUH-_Stbh3tU,,28,46,Columbus,"1636 State St Ste D, Columbus, IN 47201",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0188,AFY_BATCH_PRODUCTION_20260820_R2,580,'18053,Indiana,Grant,66524,East Central Electric Inc,ChIJAQCwREn_FIgRd59HMytbr6c,,28,60,Marion,"1600 W 26th St, Marion, IN 46953",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0189,AFY_BATCH_PRODUCTION_20260820_R2,433,'16017,Idaho,Bonner,54420,Turner Electric Co.,ChIJcfMvSy6PYVMRUqGIzIL_dxc,,28,60,Spirit Lake,"8120 Kelso Lake Rd, Spirit Lake, ID 83869",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0190,AFY_BATCH_PRODUCTION_20260820_R2,598,'18099,Indiana,Marshall,46599,Live Oak Electric,ChIJuazc7otXEYgR2hrgjQ1Gyms,,28,60,Culver,"15718 State Rd 17, Culver, IN 46511",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0191,AFY_BATCH_PRODUCTION_20260820_R2,573,'18037,Indiana,Dubois,44016,"Gudorf Plumbing Heating Cooling Electrical, Inc",ChIJD7zZvQ9ibogRNXqkd0mKVxI,,28,60,Jasper,"1280 Third Ave, Jasper, IN 47546",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0192,AFY_BATCH_PRODUCTION_20260820_R2,451,'16057,Idaho,Latah,41842,Gropp Llc,ChIJu1AOrX4noFQRJQrg32mTUUw,,28,60,Moscow,"PO Box 8929, Moscow, ID 83843",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0193,AFY_BATCH_PRODUCTION_20260820_R2,594,'18087,Indiana,LaGrange,41305,Billingsley & Son Electric Llc,ChIJr_FHV1pCFogR8O4-14jvzRg,,28,60,Wolcottville,"7250 S 185 E, Wolcottville, IN 46795",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R2-0194,AFY_BATCH_PRODUCTION_20260820_R2,602,'18107,Indiana,Montgomery,38954,KBM Mechanical,ChIJ8X7OlaLXEogR-yQx1G09ivY,,28,39,Crawfordsville,"132 W Main St, Crawfordsville, IN 47933",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
