BATCH-R1-0341,AFY_BATCH_PRODUCTION_20260820_R1,225,08075,Colorado,Logan,20654,Robirds Electric,ChIJP51gizXycYcRhriUvP1We9s,,11,60,Sterling,"446 S 11th Ave, Sterling, CO 80751",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0342,AFY_BATCH_PRODUCTION_20260820_R1,283,13001,Georgia,Appling,19100,Trinity Electrical Services Inc,ChIJVSZ8fnts8IgRBU1_PygfTqA,,11,25,Baxley,"2317 Golden Isles W, Baxley, GA 31513",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0343,AFY_BATCH_PRODUCTION_20260820_R1,39,01083,Alabama,Limestone,122928,"MetroPower, Inc.",ChIJr7hUK3KLYogRfonWK1y6C_8,,10,60,Athens,"14918 Mary Alice Wy, Athens, AL 35611",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0344,AFY_BATCH_PRODUCTION_20260820_R1,265,12055,Florida,Highlands,111122,Electrical Unlimited Service,ChIJW8l_y_1a3IgRBp-q-LgVb2s,,10,60,Sebring,"419 Ranchero Dr, Sebring, FL 33876",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0345,AFY_BATCH_PRODUCTION_20260820_R1,209,08037,Colorado,Eagle,54291,"Boston Electric, Inc",ChIJpwnLpn_YQYcRMIOX0c4wk9o,,10,60,Eagle,"702 Chambers Ave, Eagle, CO 81631",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0346,AFY_BATCH_PRODUCTION_20260820_R1,35,01071,Alabama,Jackson,54281,Titus Electric & Contracting LLC,ChIJX2sdWUb7YYgRmq5PhRNZF1g,,10,60,Scottsboro,"1806 Stewart Rd, Scottsboro, AL 35768",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0347,AFY_BATCH_PRODUCTION_20260820_R1,296,13029,Georgia,Bryan,52062,Shuman Electric,ChIJO58jeFZX-ogRLVoSRL3EvcI,,10,50,Pembroke,"415 Strickland St Ext, Pembroke, GA 31321",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0348,AFY_BATCH_PRODUCTION_20260820_R1,267,12063,Florida,Jackson,49629,Morse Electric,ChIJQ-PL_wkhk4gRNqnFegs0lrY,,10,35,Marianna,"2479 FL-73, Marianna, FL 32448",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0349,AFY_BATCH_PRODUCTION_20260820_R1,200,08015,Colorado,Chaffee,20831,Silverheels Electric LLC,ChIJfZKz4cUZFYcRTKs8JSS7om0,,10,60,Salida,"8110 Pinion Dr, Salida, CO 81201",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0350,AFY_BATCH_PRODUCTION_20260820_R1,153,05113,Arkansas,Polk,19486,Five J Electric Inc,ChIJ2zf3zLQvy4cRrIvGlcvgHqc,,10,23,Mena,"2300 US-71, Mena, AR 71953",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
